session;created;modified;ended;expired;datenschutz;flen_AN1;flen_UM1;flen_AN2;flen_UM2;flen_WI1;flen_AN3;flen_UM3;flen_WI2;flen_AN4;flen_UM4;flen_WI3;tc_st;tc_sr;tfe_1_st;tfe_2_st;tfe_3_st;tfe_4_st;tfe_5_st;sel_1_st;sel_2_st;sel_3_st;sel_4_st;sel_5_st;enr_1_st;enr_2_st;enr_3_st;enr_4_st;enr_5_st;rel_1_st;rel_2_st;rel_3_st;rel_4_st;tfe_1_sr;tfe_2_sr;tfe_3_sr;tfe_4_sr;tfe_5_sr;sel_1_sr;sel_2_sr;sel_3_sr;sel_4_sr;sel_5_sr;enr_1_sr;enr_2_sr;enr_3_sr;enr_4_sr;enr_5_sr;rel_1_sr;rel_2_sr;rel_3_sr;rel_4_sr;standort;standort_other;semester;lehramt;lehramt_other;fach;fach_other
lgiF16nrgXyzZ-RwYts9IvaMoHFcIAo-7-cTaN2ZdOSDVcNn1G6uFzWR34AzS3Jm;23.05.2019 18:38;23.05.2019 18:42;23.05.2019 18:42;NA;1;3;3;3;3;3;3;3;3;3;3;3;2;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;NA;4;4;4;4;4;4;3;4;4;4;NA;3;1;NA;8;1;NA;4, 12, 39;NA
F0WqTEKUcB20aEhUUY8aQ2YZC3QIIYSdUQrAiWieNpd5_b1FvMV9aAEnBeYgTZF3;23.05.2019 18:43;23.05.2019 18:56;23.05.2019 18:56;NA;1;4;4;4;1;3;4;3;1;4;3;2;2;1;3;3;3;5;2;5;5;4;4;3;5;4;5;3;4;5;5;5;5;5;5;5;4;3;5;5;5;4;3;5;3;4;4;5;5;5;5;5;1;NA;6;1;NA;39;NA
RVnZXEpGv1Lm5PRLFbhWR1EGK4M6e6k8XSoDTKOmqVYw4Gs9VOPVVGes6SSY6ON-;23.05.2019 18:48;23.05.2019 18:56;23.05.2019 18:56;NA;1;4;4;4;3;2;4;3;2;4;3;2;1;2;2;2;1;4;2;4;4;5;4;4;6;4;4;5;5;4;5;5;5;1;5;2;2;2;4;3;4;5;4;4;5;4;5;4;3;3;4;4;1;NA;6;1;NA;15;NA
rDntkFivHeh96KUaaWDxGwj3wtIej7aj_AT_L4AUx2bJMFdPs4P71jeBx3nKfpQ5;23.05.2019 18:54;23.05.2019 18:54;NA;NA;1;4;2;4;1;4;4;3;1;4;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8eNPgHc6WOnvapo_AQ18IopCjwVuCnhj4c5By58R9SaTxxg9OgzQWl3bNYtfzTJj;23.05.2019 18:57;23.05.2019 18:59;NA;NA;1;4;3;4;3;3;4;2;2;3;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
OpAOjeRryzHUZ_kup_1O-0ZJLbmxY8qavd77MxoLMTPnsPX4G70-lB-cSCmSUead;23.05.2019 19:06;24.05.2019 12:00;NA;NA;1;2;3;3;3;3;3;2;1;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NCIkKGyxcPYqy2aQP6rhjSk0V9-t90ozcy18l228svIfShb-oEZarb1nl47kHeAu;23.05.2019 19:19;23.05.2019 19:29;NA;NA;1;4;4;4;2;3;4;4;1;4;3;1;2;NA;2;2;1;3;3;3;5;3;3;3;4;2;5;1;4;4;4;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
KDVgk3vehfyLbSzvSv4TRt-1BV12B-9Dk7JHlGQzDpITqfHQkHJYieSkVnTPE2yA;23.05.2019 19:25;23.05.2019 19:37;23.05.2019 19:37;NA;1;4;4;4;2;3;4;2;1;4;3;1;2;1;2;2;4;3;3;3;4;4;3;2;5;6;4;5;4;5;5;6;6;4;6;5;3;3;3;2;3;2;4;3;5;3;5;5;3;3;4;5;1;NA;6;1;NA;4, 12, 39;NA
Wbn5pU1xTyF3XZHy9rt6xWpGcdHFOCzYa9s5BZWgyPooAfS7zdKqBoxpoKOeSK5O;23.05.2019 19:25;23.05.2019 19:31;23.05.2019 19:31;NA;1;3;3;3;2;4;3;2;2;3;4;3;2;1;2;4;3;5;3;4;3;4;3;3;3;3;4;4;4;3;4;3;5;5;3;NA;4;2;3;4;3;4;3;4;2;5;4;3;3;5;4;3;1;NA;6;6;Förderschule;31, 40;NA
LfNsdsLWfh15h3-yuPWQTUKU04ApJLkRRu-5DTAp5pM5HNpCutuRB2TmmAgSl8Sg;23.05.2019 19:28;23.05.2019 19:28;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
